id,value,name
5090,2560,GeForce RTX 5090
4090,1950,GeForce RTX 4090
5080,1690,GeForce RTX 5080
4080s,1510,GeForce RTX 4080 Super
4080,1490,GeForce RTX 4080
7900xtx,1490,Radeon RX 7900 XTX
5070ti,1470,GeForce RTX 5070 Ti
9070xt,1410,Radeon RX 9070 XT
7900xt,1280,Radeon RX 7900 XT
3090ti,1260,GeForce RTX 3090 Ti
4070tis,1260,GeForce RTX 4070 Ti Super
9070,1260,Radeon RX 9070
4070ti,1150,GeForce RTX 4070 Ti
5070,1140,GeForce RTX 5070
3090,1130,GeForce RTX 3090
3080ti,1110,GeForce RTX 3080 Ti
4070s,1070,GeForce RTX 4070 Super
7900gre,1060,Radeon RX 7900 Green Edition
6950xt,1040,Radeon RX 6950 XT
4070,1030,GeForce RTX 4070
6900xt,1020,Radeon RX 6900 XT
3080,1000,GeForce RTX 3080
7800xt,1000,Radeon RX 7800 XT
5060ti16,890,GeForce RTX 5060 Ti 16 GB
5060ti8,890,GeForce RTX 5060 Ti 8 GB
7700xt,870,Radeon RX 7700 XT
9060xt16,850,Radeon RX 9060 XT 16 GB
3070ti,850,GeForce RTX 3070 Ti
6800,820,Radeon RX 6800
9060xt8,800,Radeon RX 9060 XT 8 GB
3070,790,GeForce RTX 3070
2080ti,780,GeForce RTX 2080 Ti
4060ti8,780,GeForce RTX 4060 Ti 8 GB
5060,770,GeForce RTX 5060
6750xt,750,Radeon RX 6750 XT
3060ti,690,GeForce RTX 3060 Ti
6700xt,680,Radeon RX 6700 XT
2080super,630,GeForce RTX 2080 SUPER
7600xt,630,Radeon RX 7600 XT
4060,620,GeForce RTX 4060
b580,620,Arc B580
5050,610,GeForce RTX 5050
2080,600,GeForce RTX 2080
6650xt,590,Radeon RX 6650 XT
7600,590,Radeon RX 7600
2070super,560,GeForce RTX 2070 SUPER
1080ti,550,GeForce GTX 1080 Ti
a770,550,Arc A770
3060_12gb,530,GeForce RTX 3060 12 GB
6600xt,530,Radeon RX 6600 XT
vii,520,Radeon VII
a750,510,Arc A750
5700xt,500,Radeon RX 5700 XT
2070,500,GeForce RTX 2070
6600,470,Radeon RX 6600
a580,460,Arc A580
2060super,460,GeForce RTX 2060 SUPER
vega64,440,Radeon RX Vega 64
2060,430,GeForce RTX 2060
5700,420,Radeon RX 5700
1080,420,GeForce GTX 1080
1070ti,410,GeForce GTX 1070 Ti
5600xt,400,Radeon RX 5600 XT
vega56,380,Radeon RX Vega 56
1070,370,GeForce GTX 1070
1660super,350,GeForce GTX 1660 SUPER
1660ti,350,GeForce GTX 1660 Ti
980ti,330,GeForce GTX 980 Ti
3050_8gb,330,GeForce RTX 3050 8 GB
r9furyx,330,Radeon R9 FURY X
1660,320,GeForce GTX 1660
590,300,Radeon RX 590
r9fury,300,Radeon R9 FURY
980,290,GeForce GTX 980
1650super,290,GeForce GTX 1650 SUPER
6500xt,290,Radeon RX 6500 XT
5500xt,280,Radeon RX 5500 XT
580,280,Radeon RX 580
1060_6gb,270,GeForce GTX 1060 6 GB
r9_390x,270,Radeon R9 390X
690,270,GeForce GTX 690
480,270,Radeon RX 480
hd7990,260,Radeon HD 7990
780ti,260,GeForce GTX 780 Ti
970,250,GeForce GTX 970
r9_290x,250,Radeon R9 290X
r9_390,250,Radeon R9 390
570,240,Radeon RX 570
r9_290,230,Radeon R9 290
470,230,Radeon RX 470
1650,220,GeForce GTX 1650
6400,210,Radeon RX 6400
a380,210,Arc A380
780,210,GeForce GTX 780
hd7970_ghz,190,Radeon HD 7970 GHz Edition
590,190,GeForce GTX 590
r9_280x,180,Radeon R9 280X
hd6990,180,Radeon HD 6990
1050ti,170,GeForce GTX 1050 Ti
680,170,GeForce GTX 680
r9_380,170,Radeon R9 380
hd7970,170,Radeon HD 7970
770,170,GeForce GTX 770
r9_285,160,Radeon R9 285
960,160,GeForce GTX 960
670,160,GeForce GTX 670
hd5970,140,Radeon HD 5970
1630,140,GeForce GTX 1630
hd7950,140,Radeon HD 7950
1050,140,GeForce GTX 1050
760,140,GeForce GTX 760
580,140,GeForce GTX 580
660ti,140,GeForce GTX 660 Ti
r9_270x,130,Radeon R9 270X
hd7870_ghz,130,Radeon HD 7870 GHz Edition
950,130,GeForce GTX 950
560,120,Radeon RX 560
570,120,GeForce GTX 570
660,120,GeForce GTX 660
460,120,Radeon RX 460
r7_370,120,Radeon R7 370
hd6970,120,Radeon HD 6970
480,110,GeForce GTX 480
hd7850,110,Radeon HD 7850
295,110,GeForce GTX 295
hd6950,100,Radeon HD 6950
750ti,100,GeForce GTX 750 Ti
4870x2,100,Radeon HD 4870 X2
560ti,100,GeForce GTX 560 Ti
hd5870,100,Radeon HD 5870
hd6870,90,Radeon HD 6870
470,90,GeForce GTX 470
650ti,80,GeForce GTX 650 Ti
hd5850,80,Radeon HD 5850
285,80,GeForce GTX 285
hd6850,80,Radeon HD 6850
280,70,GeForce GTX 280
hd7770_ghz,70,Radeon HD 7770 GHz Edition
275,70,GeForce GTX 275
gt1030,70,GeForce GT 1030
460,70,GeForce GTX 460
hd4890,70,Radeon HD 4890
hd6790,60,Radeon HD 6790
hd5830,60,Radeon HD 5830
650,60,GeForce GTX 650
550ti,60,GeForce GTX 550 Ti
4870,60,Radeon HD 4870
260,60,GeForce GTX 260
hd5770,60,Radeon HD 5770
hd7750,50,Radeon HD 7750
hd5750,50,Radeon HD 5750
gts450,50,GeForce GTS 450
gts250,50,GeForce GTS 250
hd4850,40,Radeon HD 4850
hd4770,40,Radeon HD 4770
hd4830,40,Radeon HD 4830
hd6670,40,Radeon HD 6670
9800gt,40,GeForce 9800 GT
gt640,40,GeForce GT 640
hd5670,30,Radeon HD 5670
9600gt,30,GeForce 9600 GT
gt240,30,GeForce GT 240
gt440,30,GeForce GT 440
hd4670,30,Radeon HD 4670
hd5570,20,Radeon HD 5570
gt430,20,GeForce GT 430
gt220,20,GeForce GT 220
gt520,10,GeForce GT 520
hd6450,10,Radeon HD 6450
hd5450,10,Radeon HD 5450
hd4550,10,Radeon HD 4550
9400gt,10,GeForce 9400 GT
210,10,GeForce 210

